"model","simID","S","gamma.stat","beta.stat","Colless","Sackin","shape.stat","MRD","VRD","PSV","mean.Iprime"
"etienne","11331",28,2.67493391329236,-0.889703799371304,86,184,31.3466581479724,6.57142857142857,3.66137566137566,0.572603855054037,0.558150183150183
"etienne","11332",27,2.23026327549116,0.300481192512432,61,155,26.7554986990539,5.74074074074074,2.96866096866097,0.623219541530973,0.539335664335664
"etienne","11333",28,2.08029790180474,3.19649911225534,48,150,27.009751948579,5.35714285714286,1.64550264550265,0.71547780378434,0.517481450173758
"etienne","12331",23,3.09836690449539,0.10613165407755,47,123,22.7215820050815,5.34782608695652,2.60079051383399,0.649751497463325,0.513333333333333
"etienne","12332",23,2.71807825389158,-0.660622862766658,72,142,23.7789513352155,6.17391304347826,4.78656126482213,0.444963760992342,0.606481481481482
"etienne","12333",22,2.0826911708318,-0.257024416026092,34,114,22.5999545169598,5.18181818181818,2.15584415584416,0.646547901217649,0.532638888888889
"etienne","13331",23,3.30763009785222,-0.58122614178349,58,134,23.5738151006554,5.82608695652174,4.87747035573123,0.513574945378295,0.549242424242424
"etienne","13332",24,3.24975213447711,5.44777344836282,35,121,22.0421149284256,5.04166666666667,1.78079710144928,0.636742368056714,0.459366391184573
"etienne","13333",24,2.84237030909286,0.54481621846965,49,133,22.4520343868831,5.54166666666667,2.43297101449275,0.541373902366996,0.449970484061393
"etienne","21331",38,2.70957378865963,0.960204030510626,88,236,38.3818211017286,6.21052631578947,2.54907539118065,0.655537818683807,0.485007077879885
"etienne","21332",42,2.91224652678499,-0.847439301208202,185,337,49.0399743770765,8.02380952380952,12.7555168408827,0.550252714458182,0.557182317371393
"etienne","21333",44,2.71289565719323,-0.734766326537413,169,337,51.0301271719606,7.65909090909091,8.09038054968287,0.569061590168265,0.554295164064072
"etienne","22331",28,1.55663054047508,-0.974341803446215,84,176,31.7392198512447,6.28571428571429,6.87830687830688,0.482551718203064,0.619328067765568
"etienne","22332",27,0.961449643097364,-0.335854610375166,78,168,27.3099993863226,6.22222222222222,4.48717948717949,0.49702288839546,0.519309163059163
"etienne","22333",31,1.80666212528968,-0.635933508421464,75,189,34.0797072286556,6.09677419354839,4.95698924731183,0.690297412300725,0.576610644257703
"etienne","23331",33,3.06730230507377,0.230254595173536,67,195,34.5144848488852,5.90909090909091,3.08522727272727,0.64578275553411,0.512671957671958
"etienne","23332",37,3.41987676757373,-0.776871010180354,127,259,42.4335968691137,7,8.77777777777778,0.579099945598153,0.604724038936842
"etienne","23333",36,2.70164113474445,4.71980445951818,57,205,32.250526359848,5.69444444444444,1.70396825396825,0.569337487761588,0.190795206971678
"etienne","32321",49,3.72919895784568,0.026207882788011,152,348,53.1028941807993,7.10204081632653,5.51020408163265,0.556029919714512,0.459620577909803
"etienne","32322",50,3.17219474681288,3.69023013068539,75,311,52.9433105560684,6.22,1.7669387755102,0.6859184251074,0.4873667998668
"etienne","32323",49,2.72485545171521,-0.62478463706601,183,369,56.3453866724093,7.53061224489796,7.58758503401361,0.61319101378216,0.551721743137984
"etienne","32331",167,3.35302647197369,-0.38518618696084,866,1752,199.941856800936,10.4910179640719,7.78154534304884,0.597038786518187,0.498517529072064
"etienne","32332",176,3.21261658321336,0.598042339261296,751,1673,197.119242342717,9.50568181818182,6.94853896103896,0.641493383948582,0.451911904113765
"etienne","32333",183,3.13931905953951,-0.202431614227428,752,1720,219.452069387736,9.39890710382514,6.21911967813607,0.731942904174719,0.584794185394156
"etienne","33321",30,3.35750690369143,-0.486199180448612,95,193,31.7900595280241,6.43333333333333,6.11609195402299,0.536621274076861,0.637585034013605
"etienne","33322",30,2.93687511733683,2.53230289410975,46,164,28.5654856820412,5.46666666666667,2.3264367816092,0.648015993528542,0.432051282051282
"etienne","33323",33,3.35697910636429,-0.402863184312176,88,206,35.4467007313092,6.24242424242424,3.62689393939394,0.558341837073279,0.521056547619048
"etienne","33331",70,3.88270472090703,0.176718466559697,209,515,77.8806437577163,7.35714285714286,4.87060041407867,0.576273356832207,0.547206698063841
"etienne","33332",71,3.52289740224182,-0.192995639355023,258,576,79.7917683150455,8.11267605633803,5.38712273641851,0.454994480770471,0.497206085241743
"etienne","33333",72,3.4077685398039,-0.203744894104776,262,586,82.1303981866293,8.13888888888889,5.47339593114241,0.404461394646259,0.540494425763188
